query_id,case_id
Q01,Assistant Commissioner (Ct) Ltu ... vs M/S Glaxo Smith Kline
Q01,CIVIL APPEAL NO. 6110 OF 2009
Q01,CIVIL APPEAL NO. 1008 OF 2020
Q02,CRIMINAL APPEAL NO. 615    of 2020
Q02,CRIMINAL APPEAL NOS.286 OF 2020
Q03,CRIMINAL APPEAL NO. 520 OF 2020
Q03,"Co-Operative Society Of Debts vs Nandlal on 12 October, 1950"
Q04,Civil Appeal No. 3334 of 2020
Q04,CIVIL APPEAL NO. 136 OF 2020
Q04,"B. Venkataramana vs State Of Tamil Nadu & Anr on 9 April, 1951"
Q05,CRIMINAL APPEAL NO. 667            OF 2020
Q05,CRIMINAL APPEAL NO. 168 OF 2020
Q06,Assistant Commissioner (Ct) Ltu ... vs M/S Glaxo Smith Kline
Q06,"Balkrishna Ram vs Union Of India on 9 January, 2020"
Q06,Review Petition No. 20 of 2019
Q06,Civil Appeal No. 1878 of 2016
Q06,Civil Appeal No. 3822 of 2020
Q06,Civil Appeal Nos 2182-87 of 2020
Q07,Chintaman Rao vs The State Of Madhya Pradeshram ... on 8
Q07,Civil Appeal No. 374/4 of 1356
Q07,Nanalal Zaver And Another vs Bombay Life Assurance Co.
Q07,State Of Bombay vs Narothamdas Jethabai And Anr. on 20
Q07,Criminal Appeal No. 54 of 1951
Q07,Bhim Sen For R.S. Malik Mathra Das vs The State Of
Q07,Civil Appeal No. 28 of 1950
Q07,"Ram Singh And Ors. vs The State Of Delhi And Anr. on 6 April,"
Q07,"In Re The Editor, Printer Andpublisher ... vs Arabinda Bose And"
Q07,"N.P. Ponnuswami vs Returning Officer, Namakkal ... on 21"
Q07,Raja Bhupendra Narain Singha Bahadur vs Maharaj Bahadur
Q07,Raj Lakshmi Dasi And Others vs Banamali Sen And
Q07,The State Of Bihar vs Maharajadhiraja Sir Kameshwar Singh Of
Q07,"The State Of West Bengal vs Anwar Ali Sarkar on 11 January,"
Q07,"Visweshwar Rao vs The State Of Madhya Pradesh on 2 May,"
Q07,Criminal Appeal No. 23 of 1952
Q07,Civil Appeal No. 112 of 1953
Q07,"Kumbha Mawji vs Union Of India (Uoi) on 16 April, 1953"
Q07,Civil Appeal No. 54 of 1950
Q07,"Minerva Mills Ltd vs Their Workers on 8 October, 1953"
Q07,Civil Appeal No. 153 of 1951
Q07,"Trojan & Co. Ltd vs Rm. N. N. Nagappa Chettiar on 20 March,"
Q07,Behram Khurshed Pesikaka vs The State Of Bombay on 24
Q08,CIVIL APPEAL NO. 6347 OF 2019
Q08,CIVIL APPEAL NO. 7474 OF 2019
Q09,"Sanwat Khan And Anr. vs State Of Rajasthan on 9 December,"
Q09,"Nisa Stree vs The State Of Orissa on 24 September, 1953"
Q10,"B.K. Ravichandra vs Union Of India on 24 November, 2020"
Q10,CIVIL APPEAL NO. 2375 OF 2020
Q10,CIVIL APPEAL NOS.      2170-2171    OF 2020
Q10,CIVIL APPEAL NO.9049-9053 OF 2011
Q10,CIVIL APPEAL NO. 2526 OF 2020
Q11,CIVIL APPEAL NO. 13401 OF 2015
Q11,CIVIL APPEAL NO. 3581-3590 OF 2020
Q11,CIVIL APPEAL NO. 5622 OF 2019
Q12,CIVIL APPEAL NO.1672 OF 2020
Q12,Jaipur Vidyut Vitran Nigam Ltd. vs Adani Power Rajasthan Ltd.
Q13,"Satish @ Sabbe vs The State Of Uttar Pradesh on 30 September,"
Q13,CRIMINAL APPEAL NO. 860 OF 2019
Q13,CRIMINAL APPEAL NO.57 OF 2013
Q14,"Rajendra Singh vs National Insurance Company Ltd. on 18 June,"
Q14,CIVIL APPEAL NOS.      2170-2171    OF 2020
Q15,CIVIL APPEAL NO. 3688 OF 2017
Q15,Ishwardeo Narain Singh vs Sm. Kamta Devi And Ors. on 25
Q15,Purnendu Nath Tagore vs Administrator-General Of West Bengal
Q16,Anita Sharma vs The New India Assurance Co. Ltd. on 8
Q16,CIVIL APPEAL NO. 2926 OF 2020
Q16,CIVIL APPEAL NO. 852 OF 2020
Q16,CIVIL APPEAL NO.433 OF 2020
Q16,CRIMINAL APPEAL NO.408 OF 2020
Q16,Criminal Appeal No. 316 of 2011
Q16,CRIMINAL APPEAL NO. 1551 of 2010
Q16,CIVIL APPEAL NO. 2558 OF 2020
Q16,CIVIL APPEAL No.        1599    OF 2020
Q16,CRIMINAL APPEAL NO. 283 of 2011
Q16,CIVIL APPEAL NO. 6270 of 2012
Q16,CRIMINAL APPEAL NO. 1032 of 2013
Q16,Raveen Kumar vs The State Of Himachal Pradesh on 26
Q16,CIVIL APPEAL NO. 2077 OF 2020
Q16,"Satish @ Sabbe vs The State Of Uttar Pradesh on 30 September,"
Q16,"Shah Faesal vs Union Of India on 2 March, 2020"
Q16,CIVIL APPEAL NO. 2197 OF 2020
Q16,CIVIL APPEAL No.       838    OF 2020
Q17,Civil Appeal No. 374/4 of 1356
Q17,"Naguba Appa vs Namdev on 20 November, 1950"
Q18,CRIMINAL APPEAL NO. 460 OF 2020
Q18,Civil Appeal No.2378 of 2020
Q19,CRIMINAL APPEAL NOS. 640-641 OF 2016
Q19,CRIMINAL APPEAL NO.40 OF 2011
Q19,CRIMINAL APPEAL NO. 590 OF 2015
Q19,Criminal Appeal No. 316 of 2011
Q19,CRIMINAL APPEAL NO. 283 of 2011
Q19,"Rhea Chakraborty vs The State Of Bihar on 19 August, 2020"
Q19,CRIMINAL APPEAL NO.57 OF 2013
Q20,CIVIL APPEAL NO. 3185 OF 2020
Q20,CIVIL APPEAL NO.667 OF 2012
Q21,CRIMINAL APPEAL NO.57 OF 2013
Q21,CRIMINAL APPEAL NO. 208             OF 2020
Q22,CRIMINAL APPEAL NO. 460 OF 2020
Q22,"Kaushik Chaterjee vs State Of Haryana on 30 September, 2020"
Q22,CRIMINAL APPEAL NO. 87            OF 2020
Q22,Criminal Appeal Nos.367-368 of 2020
Q22,Skoda Auto Volkswagen India Private ... vs The State Of Uttar
Q23,Criminal Appeal No. 742 of 2020
Q23,CIVIL APPEAL NO. 5145 OF 2016
Q23,CRIMINAL APPEAL NO.417 OF 2010
Q23,CIVIL APPEAL NO.3574 OF 2009
Q23,"Canara Bank vs P Sellathal (Dead) Thr Lrs on 28 February, 2020"
Q23,CRIMINAL APPEAL NO. 238 OF 2011
Q23,Civil Appeal No. 3334 of 2020
Q23,CIVIL APPEAL NO. 5147 OF 2016
Q23,CIVIL APPEAL NO.6156 OF 2013
Q23,CRIMINAL APPEAL NO. 722 OF 2017
Q23,CRIMINAL APPEAL NOS. 546-550 OF 2017
Q23,CIVIL APPEAL NO. 5622 OF 2019
Q23,CIVIL APPEAL NO. 7474 OF 2019
Q23,CIVIL APPEAL NOS. 2843-2844 OF 2010
Q23,Neetu Kumar Nagaich vs The State Of Rajasthan on 16
Q23,CIVIL APPEAL NO.8343 OF 2014
Q23,CIVIL APPEAL NO. 5674 OF 2009
Q23,Criminal Appeal No. 648 of 2020
Q23,CRIMINAL APPEAL NO. 520 OF 2020
Q23,Criminal Appeal No. 1648 of 2019
Q23,CRIMINAL APPEAL NO.192 OF 2011
Q23,Civil Appeal Nos. 3544-45 of 2020
Q23,CIVIL APPEAL NOS. 3239-3246 OF 2020
Q23,Civil Appeal No. 3822 of 2020
Q24,CIVIL APPEAL NO. 9393 OF 2019
Q24,CIVIL APPEAL NO. 2235 OF 2020
Q25,Civil Appeal No. 10 of 1950
Q25,"Harihar Chakravarty vs The State Of West Bengal on 22 October,"
Q26,Anita Sharma vs The New India Assurance Co. Ltd. on 8
Q26,CIVIL APPEAL NO. 2558 OF 2020
Q27,CIVIL APPEAL NO. 4041 OF 2020
Q27,CIVIL APPEAL No.9037 of 2019
Q27,CIVIL APPEAL NO. 3735 OF 2020
Q27,CIVIL APPEAL NO. 7474 OF 2019
Q27,CIVIL APPEAL NO. 2773 OF 2020
Q27,CRIMINAL APPEAL NO. 125 OF 2020
Q28,"Amar Nath Chaubey vs Union Of India on 14 December, 2020"
Q28,CRIMINAL APPEAL NO. 1813 OF 2017
Q28,Criminal Appeal No. 316 of 2011
Q28,"Wilayat Khan And Ors. vs The State Of U.P. on 25 May, 1951"
Q28,"Thakur Prasad vs The State Of Madhya Pradesh on 27 January,"
Q29,"Kaushik Chaterjee vs State Of Haryana on 30 September, 2020"
Q29,CRIMINAL APPEAL NO. 353 OF 2020
Q29,"Harihar Chakravarty vs The State Of West Bengal on 22 October,"
Q29,Criminal Appeal No. 74 of 1951
Q30,CIVIL APPEAL NO.2463 OF 2015
Q30,CIVIL APPEAL NO. 3984 OF 2010
